Season,DayOfWeek,Period,PricePerGB,Arrivals_Forecast_LR,Departures_Forecast_LR
1,1,19,1,49,46
1,2,20,1,50,46
1,3,21,1,48,47
1,4,22,1,49,47
1,5,23,1,50,45
1,6,24,1,49,47
1,7,1,1,49,50
1,1,2,1,49,48
1,2,3,1,50,47
1,3,4,1,48,49
1,4,5,1,49,48
1,5,6,1,50,47
1,6,7,1,49,48
1,7,8,1,49,49
1,1,9,1,49,47
1,2,10,1,50,47
1,3,11,1,48,48
1,4,12,1,49,48
1,5,13,1,50,46
1,6,14,1,49,48
1,7,15,1,49,49
1,1,16,1,49,47
1,2,17,1,50,46
2,3,18,1,49,47
2,4,19,1,50,47
2,5,20,1,50,45
2,6,21,1,50,47
2,7,22,1,49,48
2,1,23,1,49,46
2,2,24,1,50,45
2,3,1,1,49,48
2,4,2,1,50,48
2,5,3,1,51,47
2,6,4,1,50,48
2,7,5,1,50,49
2,1,6,1,50,47
2,2,7,1,51,46
2,3,8,1,49,48
2,4,9,1,50,48
2,5,10,1,50,46
2,6,11,1,50,48
2,7,12,1,49,48
2,1,13,1,50,47
2,2,14,1,51,46
2,3,15,1,49,47
2,4,16,1,50,47
2,5,17,1,50,45
3,6,18,1,49,47
3,7,19,1,49,48
3,1,20,1,49,46
3,2,21,1,50,45
3,3,22,1,48,47
3,4,23,1,49,46
3,5,24,1,50,45
3,6,1,1,49,48
3,7,2,1,49,49
3,1,3,1,49,47
3,2,4,1,50,47
3,3,5,1,48,48
3,4,6,1,49,48
3,5,7,1,50,46
3,6,8,1,49,48
3,7,9,1,49,48
3,1,10,1,49,47
3,2,11,1,50,46
3,3,12,1,48,47
3,4,13,1,49,47
3,5,14,1,50,46
3,6,15,1,49,47
3,7,16,1,49,48
3,1,17,1,49,46
4,2,18,1,51,47
4,3,19,1,49,48
4,4,20,1,50,48
4,5,21,1,51,47
4,6,22,1,50,48
4,7,23,1,50,49
4,1,24,1,50,47
4,2,1,1,51,48
4,3,2,1,49,50
4,4,3,1,50,49
4,5,4,1,51,48
4,6,5,1,50,49
4,7,6,1,50,50
4,1,7,1,50,48
4,2,8,1,51,48
4,3,9,1,49,49
4,4,10,1,50,49
4,5,11,1,51,47
4,6,12,1,50,49
4,7,13,1,50,50
4,1,14,1,50,48
4,2,15,1,51,47
4,3,16,1,49,49
4,4,17,1,50,48
1,5,18,1,50,46
1,6,19,1,49,47
1,7,20,1,49,48
1,1,21,1,49,46
1,2,22,1,50,46
